Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node6,0.1674999999999999,0.0916666666666666,1.55,1.54,0.0,0.0,6.52,2.39,0.0,0.0023,0.0,reportStatus_report_80_20250325-003003.html,80
/node3,0.2708333333333333,0.1058333333333333,1.64,1.63,0.0,0.0,17.6,3.84,0.0,0.0037,0.0,reportStatus_report_80_20250325-003003.html,80
/node1,0.1633333333333333,0.0841666666666666,2.83,2.83,0.0,0.0,17.7,1.75,0.0,0.0017,0.0,reportStatus_report_80_20250325-003003.html,80
/node4,0.1891666666666666,0.0933333333333333,1.51,1.5,0.0,0.0,17.2,4.11,0.0,0.004,0.0,reportStatus_report_80_20250325-003003.html,80
/node5,0.1825,0.0933333333333333,1.52,1.51,0.0,0.0,17.1,4.13,0.0,0.004,0.0,reportStatus_report_80_20250325-003003.html,80
/node2,0.2675,0.1366666666666666,2.8,2.79,0.0,0.0,17.4,2.07,0.0,0.002,0.0,reportStatus_report_80_20250325-003003.html,80
/node6,0.1674999999999999,0.0916666666666666,1.55,1.54,0.0,0.0,6.52,2.39,0.0,0.0023,0.0,reportStatus_report_80_20250325-003003.html,80
/node3,0.2708333333333333,0.1058333333333333,1.64,1.63,0.0,0.0,17.6,3.84,0.0,0.0037,0.0,reportStatus_report_80_20250325-003003.html,80
/node1,0.1633333333333333,0.0841666666666666,2.83,2.83,0.0,0.0,17.7,1.75,0.0,0.0017,0.0,reportStatus_report_80_20250325-003003.html,80
/node4,0.1891666666666666,0.0933333333333333,1.51,1.5,0.0,0.0,17.2,4.11,0.0,0.004,0.0,reportStatus_report_80_20250325-003003.html,80
/node5,0.1825,0.0933333333333333,1.52,1.51,0.0,0.0,17.1,4.13,0.0,0.004,0.0,reportStatus_report_80_20250325-003003.html,80
/node2,0.2675,0.1366666666666666,2.8,2.79,0.0,0.0,17.4,2.07,0.0,0.002,0.0,reportStatus_report_80_20250325-003003.html,80
/node6,0.3891666666666666,0.2525,1.08,1.07,0.0,0.0,2.7,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node3,1.2633333333333334,0.5891666666666667,0.905,0.839,0.0,0.0,4.72,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node1,1.085,0.5791666666666667,2.29,2.29,0.0,0.0,9.2,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node4,1.225833333333333,0.7408333333333333,0.835,0.825,0.0,0.0,6.9,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node5,1.3041666666666667,0.77,0.826,0.814,0.0,0.0,6.96,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node2,1.2825,0.6958333333333333,0.825,0.82,0.0,0.0,6.92,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node6,0.3891666666666666,0.2525,1.08,1.07,0.0,0.0,2.7,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node3,1.2633333333333334,0.5891666666666667,0.905,0.839,0.0,0.0,4.72,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node1,1.085,0.5791666666666667,2.29,2.29,0.0,0.0,9.2,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node4,1.225833333333333,0.7408333333333333,0.835,0.825,0.0,0.0,6.9,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node5,1.3041666666666667,0.77,0.826,0.814,0.0,0.0,6.96,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node2,1.2825,0.6958333333333333,0.825,0.82,0.0,0.0,6.92,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-214149.html,80
/node6,0.6008333333333333,0.1825,1.43,1.42,0.0,0.0,8.98,44.0,0.0,0.043,0.0,reportStatus_report_80_20250324-235209.html,80
/node3,0.2166666666666666,0.1033333333333333,1.5,1.49,0.0,0.0,4.27,20.0,0.0,0.0195,0.0,reportStatus_report_80_20250324-235209.html,80
/node1,0.175,0.0908333333333333,1.59,1.58,0.0,0.0,10.2,4.0,0.0,0.0039,0.0,reportStatus_report_80_20250324-235209.html,80
/node4,0.1908333333333333,0.09,1.4,1.39,0.0,0.0,4.3,20.0,0.0,0.0195,0.0,reportStatus_report_80_20250324-235209.html,80
/node5,0.1808333333333333,0.0958333333333333,1.4,1.4,0.0,0.0,8.55,20.0,0.0,0.0195,0.0,reportStatus_report_80_20250324-235209.html,80
/node2,0.2883333333333333,0.1433333333333333,2.48,2.47,0.0,0.0,10.3,4.0,0.0,0.0039,0.0,reportStatus_report_80_20250324-235209.html,80
/node6,0.6008333333333333,0.1825,1.43,1.42,0.0,0.0,8.98,44.0,0.0,0.043,0.0,reportStatus_report_80_20250324-235209.html,80
/node3,0.2166666666666666,0.1033333333333333,1.5,1.49,0.0,0.0,4.27,20.0,0.0,0.0195,0.0,reportStatus_report_80_20250324-235209.html,80
/node1,0.175,0.0908333333333333,1.59,1.58,0.0,0.0,10.2,4.0,0.0,0.0039,0.0,reportStatus_report_80_20250324-235209.html,80
/node4,0.1908333333333333,0.09,1.4,1.39,0.0,0.0,4.3,20.0,0.0,0.0195,0.0,reportStatus_report_80_20250324-235209.html,80
/node5,0.1808333333333333,0.0958333333333333,1.4,1.4,0.0,0.0,8.55,20.0,0.0,0.0195,0.0,reportStatus_report_80_20250324-235209.html,80
/node2,0.2883333333333333,0.1433333333333333,2.48,2.47,0.0,0.0,10.3,4.0,0.0,0.0039,0.0,reportStatus_report_80_20250324-235209.html,80
/node6,0.3633333333333333,0.1533333333333333,1.26,1.26,0.0,0.0,8.45,48.0,0.0,0.0469,0.0,reportStatus_report_80_20250324-231719.html,80
/node3,0.1858333333333333,0.0949999999999999,1.07,1.06,0.0,0.0,8.32,76.0,0.0,0.0742,0.0,reportStatus_report_80_20250324-231719.html,80
/node1,0.6016666666666667,0.2041666666666667,1.42,1.32,0.0,0.0,8.93,492.0,0.0,0.4805,0.0,reportStatus_report_80_20250324-231719.html,80
/node4,0.1949999999999999,0.0999999999999999,1.05,1.05,0.0,0.0,8.28,144.0,0.0,0.1406,0.0,reportStatus_report_80_20250324-231719.html,80
/node5,0.17,0.0933333333333333,0.986,0.981,0.0,0.0,8.21,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-231719.html,80
/node2,0.1775,0.0933333333333333,1.09,1.08,0.0,0.0,3.94,16.0,0.0,0.0156,0.0,reportStatus_report_80_20250324-231719.html,80
/node6,0.3633333333333333,0.1533333333333333,1.26,1.26,0.0,0.0,8.45,48.0,0.0,0.0469,0.0,reportStatus_report_80_20250324-231719.html,80
/node3,0.1858333333333333,0.0949999999999999,1.07,1.06,0.0,0.0,8.32,76.0,0.0,0.0742,0.0,reportStatus_report_80_20250324-231719.html,80
/node1,0.6016666666666667,0.2041666666666667,1.42,1.32,0.0,0.0,8.93,492.0,0.0,0.4805,0.0,reportStatus_report_80_20250324-231719.html,80
/node4,0.1949999999999999,0.0999999999999999,1.05,1.05,0.0,0.0,8.28,144.0,0.0,0.1406,0.0,reportStatus_report_80_20250324-231719.html,80
/node5,0.17,0.0933333333333333,0.986,0.981,0.0,0.0,8.21,0.0,0.0,0.0,0.0,reportStatus_report_80_20250324-231719.html,80
/node2,0.1775,0.0933333333333333,1.09,1.08,0.0,0.0,3.94,16.0,0.0,0.0156,0.0,reportStatus_report_80_20250324-231719.html,80
