Round,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput,ReportFile,ConfiguredTPS
getLatestStatus,801,0,40.1,5.32,0.18,2.77,32.7,getLatestStatus_report_40_20250325-001549.html,40
getLatestStatus,1201,0,60.1,5.4,0.31,2.88,57.6,getLatestStatus_report_60_20250324-211154.html,60
getLatestStatus,2401,0,120.1,6.11,0.65,3.2,96.2,getLatestStatus_report_120_20250324-234949.html,120
getLatestStatus,401,0,20.1,5.38,0.28,2.82,19.4,getLatestStatus_report_20_20250324-205029.html,20
getLatestStatus,4001,0,200.1,6.19,0.18,3.51,185.5,getLatestStatus_report_200_20250325-005520.html,200
getLatestStatus,801,0,40.1,5.43,0.21,2.79,38.9,getLatestStatus_report_40_20250324-233619.html,40
getLatestStatus,801,0,40.1,5.19,0.13,2.7,38.6,getLatestStatus_report_40_20250324-210044.html,40
getLatestStatus,401,0,20.1,5.46,0.12,2.72,17.2,getLatestStatus_report_20_20250324-204839.html,20
getLatestStatus,401,0,20.1,5.5,0.17,2.76,16.1,getLatestStatus_report_20_20250324-204704.html,20
getLatestStatus,3601,0,180.1,5.83,0.92,3.41,148.4,getLatestStatus_report_180_20250325-004630.html,180
getLatestStatus,1201,0,60.1,5.28,0.23,2.76,49.5,getLatestStatus_report_60_20250325-001624.html,60
getLatestStatus,2401,0,120.1,5.67,0.3,3.1,114.3,getLatestStatus_report_120_20250324-231504.html,120
getLatestStatus,2001,0,100.1,5.47,0.12,2.96,97.0,getLatestStatus_report_100_20250325-002718.html,100
getLatestStatus,3201,0,160.1,6.01,0.07,3.26,126.8,getLatestStatus_report_160_20250325-011051.html,160
getLatestStatus,401,0,20.1,5.4,0.17,2.72,17.5,getLatestStatus_report_20_20250324-235958.html,20
getLatestStatus,1601,0,80.1,5.66,0.11,2.91,77.8,getLatestStatus_report_80_20250324-212229.html,80
getLatestStatus,3201,0,160.1,5.64,0.11,3.24,126.9,getLatestStatus_report_160_20250325-010237.html,160
getLatestStatus,401,0,20.1,5.24,0.1,2.66,19.5,getLatestStatus_report_20_20250324-205159.html,20
getLatestStatus,801,0,40.1,5.16,0.14,2.68,38.5,getLatestStatus_report_40_20250324-213734.html,40
