Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node6,1.2891666666666668,0.5533333333333333,1.75,1.75,0.0,0.0,44.6,5.61,0.0,0.0055,0.0,reportStatus_report_200_20250325-004953.html,200
/node3,1.1075,0.5783333333333334,1.88,1.86,0.0,0.0,28.5,0.645,0.0,0.0006,0.0,reportStatus_report_200_20250325-004953.html,200
/node1,1.1658333333333333,0.5925,2.57,2.52,0.0,0.0,16.1,2.12,0.0,0.0021,0.0,reportStatus_report_200_20250325-004953.html,200
/node4,0.9433333333333334,0.58,1.95,1.93,0.0,0.0,16.3,0.652,0.0,0.0006,0.0,reportStatus_report_200_20250325-004953.html,200
/node5,1.57,0.7558333333333334,1.88,1.87,0.0,0.0,17.0,1.48,0.0,0.0014,0.0,reportStatus_report_200_20250325-004953.html,200
/node2,1.5708333333333335,0.8566666666666666,3.88,3.84,0.0,0.0,18.1,2.68,0.0,0.0026,0.0,reportStatus_report_200_20250325-004953.html,200
/node6,1.2891666666666668,0.5533333333333333,1.75,1.75,0.0,0.0,44.6,5.61,0.0,0.0055,0.0,reportStatus_report_200_20250325-004953.html,200
/node3,1.1075,0.5783333333333334,1.88,1.86,0.0,0.0,28.5,0.645,0.0,0.0006,0.0,reportStatus_report_200_20250325-004953.html,200
/node1,1.1658333333333333,0.5925,2.57,2.52,0.0,0.0,16.1,2.12,0.0,0.0021,0.0,reportStatus_report_200_20250325-004953.html,200
/node4,0.9433333333333334,0.58,1.95,1.93,0.0,0.0,16.3,0.652,0.0,0.0006,0.0,reportStatus_report_200_20250325-004953.html,200
/node5,1.57,0.7558333333333334,1.88,1.87,0.0,0.0,17.0,1.48,0.0,0.0014,0.0,reportStatus_report_200_20250325-004953.html,200
/node2,1.5708333333333335,0.8566666666666666,3.88,3.84,0.0,0.0,18.1,2.68,0.0,0.0026,0.0,reportStatus_report_200_20250325-004953.html,200
/node6,1.1041666666666667,0.6375000000000001,1.72,1.69,0.0,0.0,49.2,21.1,0.0,0.0206,0.0,reportStatus_report_200_20250325-004124.html,200
/node3,1.53,0.6708333333333334,1.84,1.83,0.0,0.0,53.8,4.28,0.0001,0.0042,0.0,reportStatus_report_200_20250325-004124.html,200
/node1,1.1583333333333334,0.6266666666666666,2.9,2.87,0.0,0.0,53.7,3.14,0.0001,0.0031,0.0,reportStatus_report_200_20250325-004124.html,200
/node4,1.3166666666666667,0.7283333333333334,1.73,1.62,0.0,0.0,54.1,6.23,0.0001,0.0061,0.0,reportStatus_report_200_20250325-004124.html,200
/node5,1.3724999999999998,0.7733333333333333,1.85,1.82,0.0,0.0,53.8,8.07,0.0001,0.0079,0.0,reportStatus_report_200_20250325-004124.html,200
/node2,1.8825,1.0283333333333333,3.76,3.73,0.0,0.0,56.0,18.7,0.0001,0.0183,0.0,reportStatus_report_200_20250325-004124.html,200
/node6,1.1041666666666667,0.6375000000000001,1.72,1.69,0.0,0.0,49.2,21.1,0.0,0.0206,0.0,reportStatus_report_200_20250325-004124.html,200
/node3,1.53,0.6708333333333334,1.84,1.83,0.0,0.0,53.8,4.28,0.0001,0.0042,0.0,reportStatus_report_200_20250325-004124.html,200
/node1,1.1583333333333334,0.6266666666666666,2.9,2.87,0.0,0.0,53.7,3.14,0.0001,0.0031,0.0,reportStatus_report_200_20250325-004124.html,200
/node4,1.3166666666666667,0.7283333333333334,1.73,1.62,0.0,0.0,54.1,6.23,0.0001,0.0061,0.0,reportStatus_report_200_20250325-004124.html,200
/node5,1.3724999999999998,0.7733333333333333,1.85,1.82,0.0,0.0,53.8,8.07,0.0001,0.0079,0.0,reportStatus_report_200_20250325-004124.html,200
/node2,1.8825,1.0283333333333333,3.76,3.73,0.0,0.0,56.0,18.7,0.0001,0.0183,0.0,reportStatus_report_200_20250325-004124.html,200
/node6,0.05583333333333334,0.034166666666666665,1.46,1.46,0.0,0.0,3.95,0.0,0.0,0.0,0.0,reportStatus_report_20_20250325-000324.html,20
/node3,0.049166666666666664,0.030833333333333334,1.54,1.54,0.0,0.0,2.51,0.0,0.0,0.0,0.0,reportStatus_report_20_20250325-000324.html,20
/node1,0.05333333333333334,0.0325,1.65,1.63,0.0,0.0,3.17,0.0,0.0,0.0,0.0,reportStatus_report_20_20250325-000324.html,20
/node4,0.0525,0.0325,1.45,1.45,0.0,0.0,0.602,44.0,0.0,0.043,0.0,reportStatus_report_20_20250325-000324.html,20
/node5,0.05416666666666667,0.03333333333333333,1.46,1.45,0.0,0.0,3.85,0.0,0.0,0.0,0.0,reportStatus_report_20_20250325-000324.html,20
/node2,0.07916666666666666,0.04583333333333334,1.73,1.71,0.0,0.0,3.14,20.0,0.0,0.0195,0.0,reportStatus_report_20_20250325-000324.html,20
/node6,0.05583333333333334,0.034166666666666665,1.46,1.46,0.0,0.0,3.95,0.0,0.0,0.0,0.0,reportStatus_report_20_20250325-000324.html,20
/node3,0.049166666666666664,0.030833333333333334,1.54,1.54,0.0,0.0,2.51,0.0,0.0,0.0,0.0,reportStatus_report_20_20250325-000324.html,20
/node1,0.05333333333333334,0.0325,1.65,1.63,0.0,0.0,3.17,0.0,0.0,0.0,0.0,reportStatus_report_20_20250325-000324.html,20
