Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node6,0.24083333333333334,0.12666666666666668,1.29,1.29,0.0,0.0,1.14,0.0,0.0,0.0,0.0,statusReports_report_100_20250324-232144.html,100
/node3,0.22083333333333333,0.11333333333333334,1.22,1.22,0.0,0.0,1.18,0.0,0.0,0.0,0.0,statusReports_report_100_20250324-232144.html,100
/node1,0.5741666666666666,0.22166666666666668,1.92,1.91,0.0,0.0,2.39,48.0,0.0,0.0469,0.0,statusReports_report_100_20250324-232144.html,100
/node4,0.22833333333333336,0.11833333333333333,1.26,1.26,0.0,0.0,0.0352,0.0,0.0,0.0,0.0,statusReports_report_100_20250324-232144.html,100
/node5,0.225,0.11333333333333334,1.26,1.26,0.0,0.0,1.08,0.0,0.0,0.0,0.0,statusReports_report_100_20250324-232144.html,100
/node2,0.22666666666666668,0.1125,1.24,1.24,0.0,0.0,1.27,40.0,0.0,0.0391,0.0,statusReports_report_100_20250324-232144.html,100
/node6,0.24083333333333334,0.12666666666666668,1.29,1.29,0.0,0.0,1.14,0.0,0.0,0.0,0.0,statusReports_report_100_20250324-232144.html,100
/node3,0.22083333333333333,0.11333333333333334,1.22,1.22,0.0,0.0,1.18,0.0,0.0,0.0,0.0,statusReports_report_100_20250324-232144.html,100
/node1,0.5741666666666666,0.22166666666666668,1.92,1.91,0.0,0.0,2.39,48.0,0.0,0.0469,0.0,statusReports_report_100_20250324-232144.html,100
/node4,0.22833333333333336,0.11833333333333333,1.26,1.26,0.0,0.0,0.0352,0.0,0.0,0.0,0.0,statusReports_report_100_20250324-232144.html,100
/node5,0.225,0.11333333333333334,1.26,1.26,0.0,0.0,1.08,0.0,0.0,0.0,0.0,statusReports_report_100_20250324-232144.html,100
/node2,0.22666666666666668,0.1125,1.24,1.24,0.0,0.0,1.27,40.0,0.0,0.0391,0.0,statusReports_report_100_20250324-232144.html,100
/node6,0.20833333333333334,0.09166666666666667,1.46,1.45,0.0,0.0,80.0,0.0,0.0001,0.0,0.0,statusReports_report_40_20250324-235449.html,40
