Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node6,0.3575,0.1775,1.72,1.72,0.0,0.0,2.24,0.0586,0.0,0.0001,0.0,statusReports_report_180_20250325-004409.html,180
/node3,0.3091666666666666,0.1591666666666666,1.84,1.84,0.0,0.0,2.27,0.152,0.0,0.0001,0.0,statusReports_report_180_20250325-004409.html,180
/node1,0.3441666666666667,0.17,2.9,2.79,0.0,0.0,2.3,0.0977,0.0,0.0001,0.0,statusReports_report_180_20250325-004409.html,180
/node4,0.3383333333333333,0.1625,1.73,1.73,0.0,0.0,0.473,0.00781,0.0,0.0,0.0,statusReports_report_180_20250325-004409.html,180
/node5,0.3425,0.1674999999999999,1.85,1.85,0.0,0.0,2.09,0.633,0.0,0.0006,0.0,statusReports_report_180_20250325-004409.html,180
/node2,0.6283333333333333,0.3025,3.77,3.77,0.0,0.0,2.48,2.03,0.0,0.002,0.0,statusReports_report_180_20250325-004409.html,180
/node6,0.3575,0.1775,1.72,1.72,0.0,0.0,2.24,0.0586,0.0,0.0001,0.0,statusReports_report_180_20250325-004409.html,180
/node3,0.3091666666666666,0.1591666666666666,1.84,1.84,0.0,0.0,2.27,0.152,0.0,0.0001,0.0,statusReports_report_180_20250325-004409.html,180
/node1,0.3441666666666667,0.17,2.9,2.79,0.0,0.0,2.3,0.0977,0.0,0.0001,0.0,statusReports_report_180_20250325-004409.html,180
/node4,0.3383333333333333,0.1625,1.73,1.73,0.0,0.0,0.473,0.00781,0.0,0.0,0.0,statusReports_report_180_20250325-004409.html,180
/node5,0.3425,0.1674999999999999,1.85,1.85,0.0,0.0,2.09,0.633,0.0,0.0006,0.0,statusReports_report_180_20250325-004409.html,180
/node2,0.6283333333333333,0.3025,3.77,3.77,0.0,0.0,2.48,2.03,0.0,0.002,0.0,statusReports_report_180_20250325-004409.html,180
/node6,0.32,0.1633333333333333,1.99,1.99,0.0,0.0,2.28,96.0,0.0,0.0938,0.0,statusReports_report_180_20250325-011653.html,180
/node3,0.325,0.1575,1.97,1.97,0.0,0.0,2.22,448.0,0.0,0.4375,0.0,statusReports_report_180_20250325-011653.html,180
/node1,0.3475,0.1683333333333333,2.09,2.09,0.0,0.0,2.31,96.0,0.0,0.0938,0.0,statusReports_report_180_20250325-011653.html,180
/node4,0.3416666666666666,0.1691666666666666,1.88,1.88,0.0,0.0,2.52,428.0,0.0,0.418,0.0,statusReports_report_180_20250325-011653.html,180
/node5,0.3283333333333333,0.1575,1.89,1.89,0.0,0.0,2.19,12.0,0.0,0.0117,0.0,statusReports_report_180_20250325-011653.html,180
/node2,0.59,0.2791666666666667,3.95,3.95,0.0,0.0,4.27,164.0,0.0,0.1602,0.0,statusReports_report_180_20250325-011653.html,180
/node6,0.32,0.1633333333333333,1.99,1.99,0.0,0.0,2.28,96.0,0.0,0.0938,0.0,statusReports_report_180_20250325-011653.html,180
/node3,0.325,0.1575,1.97,1.97,0.0,0.0,2.22,448.0,0.0,0.4375,0.0,statusReports_report_180_20250325-011653.html,180
/node1,0.3475,0.1683333333333333,2.09,2.09,0.0,0.0,2.31,96.0,0.0,0.0938,0.0,statusReports_report_180_20250325-011653.html,180
/node4,0.3416666666666666,0.1691666666666666,1.88,1.88,0.0,0.0,2.52,428.0,0.0,0.418,0.0,statusReports_report_180_20250325-011653.html,180
/node5,0.3283333333333333,0.1575,1.89,1.89,0.0,0.0,2.19,12.0,0.0,0.0117,0.0,statusReports_report_180_20250325-011653.html,180
/node2,0.59,0.2791666666666667,3.95,3.95,0.0,0.0,4.27,164.0,0.0,0.1602,0.0,statusReports_report_180_20250325-011653.html,180
/node6,0.8691666666666666,0.2533333333333333,1.97,1.97,0.0,0.0,2.29,0.0,0.0,0.0,0.0,statusReports_report_180_20250325-010831.html,180
/node3,0.3416666666666666,0.1725,1.93,1.93,0.0,0.0,2.27,0.0,0.0,0.0,0.0,statusReports_report_180_20250325-010831.html,180
/node1,0.3475,0.1783333333333333,2.02,2.02,0.0,0.0,2.3,48.0,0.0,0.0469,0.0,statusReports_report_180_20250325-010831.html,180
/node4,0.3325,0.1658333333333333,1.83,1.83,0.0,0.0,2.24,0.0,0.0,0.0,0.0,statusReports_report_180_20250325-010831.html,180
/node5,0.3175,0.1633333333333333,1.87,1.87,0.0,0.0,2.17,0.0,0.0,0.0,0.0,statusReports_report_180_20250325-010831.html,180
/node2,0.5325,0.2683333333333333,4.18,4.14,0.0,0.0,3.5,4.0,0.0,0.0039,0.0,statusReports_report_180_20250325-010831.html,180
/node6,0.8691666666666666,0.2533333333333333,1.97,1.97,0.0,0.0,2.29,0.0,0.0,0.0,0.0,statusReports_report_180_20250325-010831.html,180
/node3,0.3416666666666666,0.1725,1.93,1.93,0.0,0.0,2.27,0.0,0.0,0.0,0.0,statusReports_report_180_20250325-010831.html,180
/node1,0.3475,0.1783333333333333,2.02,2.02,0.0,0.0,2.3,48.0,0.0,0.0469,0.0,statusReports_report_180_20250325-010831.html,180
/node4,0.3325,0.1658333333333333,1.83,1.83,0.0,0.0,2.24,0.0,0.0,0.0,0.0,statusReports_report_180_20250325-010831.html,180
/node5,0.3175,0.1633333333333333,1.87,1.87,0.0,0.0,2.17,0.0,0.0,0.0,0.0,statusReports_report_180_20250325-010831.html,180
/node2,0.5325,0.2683333333333333,4.18,4.14,0.0,0.0,3.5,4.0,0.0,0.0039,0.0,statusReports_report_180_20250325-010831.html,180
/node6,0.3391666666666666,0.1808333333333333,1.8,1.8,0.0,0.0,2.06,0.0,0.0,0.0,0.0,statusReports_report_180_20250325-010007.html,180
/node3,0.3266666666666666,0.1674999999999999,1.92,1.92,0.0,0.0,2.25,8.0,0.0,0.0078,0.0,statusReports_report_180_20250325-010007.html,180
/node1,0.3358333333333334,0.1775,2.16,2.16,0.0,0.0,2.12,320.0,0.0,0.3125,0.0,statusReports_report_180_20250325-010007.html,180
/node4,0.3333333333333333,0.1708333333333333,1.88,1.88,0.0,0.0,2.36,44.0,0.0,0.043,0.0,statusReports_report_180_20250325-010007.html,180
/node5,0.4916666666666667,0.1983333333333333,1.89,1.89,0.0,0.0,2.14,20.0,0.0,0.0195,0.0,statusReports_report_180_20250325-010007.html,180
/node2,0.5508333333333334,0.2841666666666667,4.13,4.13,0.0,0.0,3.18,8.0,0.0,0.0078,0.0,statusReports_report_180_20250325-010007.html,180
